Ω√¡°,M2,M2_index
2016. 09,2383040.5,55.24789259
2016. 10,2391059.2,55.43379639
2016. 11,2406393.5,55.78930347
2016. 12,2414040.9,55.96659912
2017. 01,2417807.6,56.05392548
2017. 02,2420285.6,56.11137489
2017. 03,2436994.7,56.49875503
2017. 04,2450220.9,56.80538837
2017. 05,2454386.7,56.90196738
2017. 06,2470861.1,57.28390628
2017. 07,2472110.4,57.31286978
2017. 08,2485629.9,57.62630293
2017. 09,2492388.2,57.78298589
2017. 10,2504594.2,58.06596713
2017. 11,2521786.3,58.46454504
2017. 12,2527641.3,58.60028609
2018. 01,2551196,59.14637313
2018. 02,2570764.6,59.60004729
2018. 03,2578361.8,59.77617913
2018. 04,2590840.7,60.06548723
2018. 05,2600274.3,60.28419376
2018. 06,2622268.3,60.79409787
2018. 07,2637421.8,61.14541332
2018. 08,2651503.4,61.47187807
2018. 09,2652829.5,61.50262209
2018. 10,2674506.5,62.00517694
2018. 11,2692974.8,62.43334199
2018. 12,2699882.3,62.59348397
2019. 01,2716722,62.98389191
2019. 02,2730481.9,63.30289844
2019. 03,2752723.9,63.81855213
2019. 04,2763058,64.05813565
2019. 05,2771633,64.25693659
2019. 06,2799248,64.89715674
2019. 07,2811543.7,65.18221758
2019. 08,2832566.1,65.66959632
2019. 09,2853272,66.14963741
2019. 10,2874176.1,66.63427351
2019. 11,2901465.4,67.26694271
2019. 12,2912434.1,67.52123866
2020. 01,2929009.2,67.90551218
2020. 02,2954603.8,68.49889182
2020. 03,2984304.3,69.18746175
2020. 04,3015816.4,69.91803142
2020. 05,3046050.5,70.61897222
2020. 06,3077284.1,71.34308521
2020. 07,3093300.1,71.71439667
2020. 08,3100373.4,71.87838251
2020. 09,3115238.9,72.22302103
2020. 10,3152811.6,73.09409834
2020. 11,3183500.9,73.80559239
2020. 12,3197671.2,74.13411354
2021. 01,3223486.7,74.73261448
2021. 02,3271405.8,75.84356047
2021. 03,3313182.2,76.81209544
2021. 04,3358874.9,77.87142506
2021. 05,3379754,78.35548157
2021. 06,3379754,78.35548157
